50,50,19.661,22.17,29.045,44.201,68.531,70.95,67.345,58.317,42.268,50,50,20.16,29.807,33.087,41.515,60.647,63.719,65.897,58.032,41.936,50,50,3.4789,20.861,28.303,46.939,64.414,69.437,81.523,67.903,46.244
51,51,16.387,19.673,31.234,39.069,61.415,63.705,67.787,57.852,44.447,51,51,13.646,25.157,26.366,42.782,57.998,62.802,64.732,56.041,40.925,51,51,-1.4539,23.768,30.218,45.555,58.639,63.94,78.416,64.392,43.88
52,52,24.347,24.234,29.681,41.41,60.182,60.665,61.752,54.68,42.698,52,52,16.148,26.85,26.549,41.691,55.694,58.342,59.904,53.174,41.643,52,52,6.937,18.719,33.272,46.565,60.328,65.246,76.556,60.994,42.879
53,53,25.256,27.168,27.024,43.384,59.425,60.895,58.876,54.031,43.602,53,53,27.754,27.771,34.224,40.494,55.777,61.345,57.887,52.441,41.055,53,53,13.46,16.019,28.225,45.115,59.426,63.99,72.558,57.432,41.105
54,54,11.407,20.975,29.862,42.129,59.421,60.936,58.626,52.723,41.082,54,54,26.679,28.32,31.958,38.074,55.363,62.366,54.562,53.132,39.673,54,54,10.95,21.67,27.631,42.665,55.016,62.243,70.813,56.669,40.523
55,55,13.908,24.409,27.025,39.762,58.991,60.066,56.513,52.236,43.409,55,55,28.735,28.226,26.958,38.283,50.781,56.342,53.073,51.937,40.294,55,55,14.807,19.962,28.724,38.073,52.978,59.758,66.997,54.259,40.449
56,56,16.794,23.936,33.248,41.058,59.021,60.743,57.277,55.482,42.801,56,56,26.973,22.632,29.987,41.025,49.742,54.582,53.902,54.557,41.42,56,56,13.612,20.034,31.55,37.845,52.945,59.808,67.836,54.812,40.317
57,57,16.889,20.58,29.836,37.607,53.183,53.556,53.058,59.247,47.413,57,57,16.081,21.516,28.437,36.025,46.843,52.009,51.096,59.035,43.561,57,57,-2.163,22.98,29.025,37.315,48.749,53.504,66.398,57.677,40.474
58,58,20.662,23.101,30.295,36.954,51.254,51.009,54.592,61.314,49.038,58,58,23.622,23.113,28.812,39.926,47.385,51.058,53.839,60.547,47.664,58,58,1.519,23.428,34.253,35.897,49.559,53.24,69.393,60.566,41.603
59,59,25.735,27.738,29.492,38.794,49.847,49.572,49.128,54.874,44.237,59,59,27.885,25.606,27.67,36.363,47.149,50.093,51.687,57.438,41.329,59,59,10.255,22.491,32.836,37.182,43.684,52.77,64.624,54.204,40.001
60,60,28.478,21.08,29.164,36.29,48.395,49.222,48.775,52.849,42.553,60,60,27.298,26.997,27.061,38.607,46.995,53.105,48.759,51.119,39.997,60,60,5.4092,17.335,31.792,33.311,44.099,54.044,61.604,50.047,39.5
61,61,20.888,27.644,30.224,36.12,50.125,51.533,49.456,50.548,42.217,61,61,24.493,26.294,28.263,42.148,46.173,51.521,47.856,51.484,38.919,61,61,9.3873,12.091,27.223,40.72,45.191,54.312,60.139,49.907,39.189
62,62,16.835,22.932,32.58,39.888,48.376,50.156,47.386,47.156,41.339,62,62,19.244,28.405,32.143,37.098,44.521,51.325,47.159,49.741,38.374,62,62,4.706,16.412,29.473,37.365,44.191,52.599,61.666,50.502,39.311
63,63,20.437,24.125,27.675,34.539,54.06,54.937,46.245,48.905,39.186,63,63,19.858,26.1,25.131,37.001,44.578,49.354,47.359,51.226,38.585,63,63,4.1709,15.301,29.848,36.773,45.748,49.532,60.825,50.943,39.159
64,64,11.115,22.655,31.017,38.834,49.809,50.043,48.781,50.441,42.915,64,64,17.81,22.35,33.334,38.109,46.564,50.784,49.211,51.105,39.134,64,64,-1.7212,14.658,28.241,37.267,46.121,52.06,63.046,51.272,38.971
65,65,12.773,19.921,31.796,36.667,50.924,51.563,47.284,48.192,39.567,65,65,13.513,26.809,32.34,35.575,45.627,53.461,46.417,48.599,38.754,65,65,5.8942,18.612,30.739,37.011,47.478,54.6,60.815,49.343,38.971
66,66,26.081,28.622,28.802,36.96,46.37,47.167,44.653,46.844,42.699,66,66,29.532,30.291,25.215,35.468,46.276,52.181,45.184,47.818,37.788,66,66,2.7537,18.108,30.96,35.005,45.263,52.265,56.804,46.731,38.745
67,67,25.94,29.486,32.369,36.939,45.429,42.889,45.065,47.918,39.485,67,67,29.882,31.578,32.092,39.155,46.072,48.069,46.36,47.711,37.035,67,67,11.571,20.465,28.198,40.53,48.309,50.982,57.471,48.223,38.718
68,68,18.257,29.636,29.227,37.506,48.339,48.275,45.061,46.636,43.178,68,68,21.773,32.992,26.675,38.199,45.592,50.862,45.438,48.019,38.612,68,68,1.3821,20.108,26.714,38.39,46.243,53.566,58.919,49.116,39.121
69,69,28.822,25.285,29.229,34.776,50.666,50.333,43.785,47.232,40.37,69,69,33.022,27.596,23.898,34.723,44.966,49.801,46.711,48.66,37.828,69,69,11.143,22.714,25.47,36.231,47.604,52.733,58.137,48.195,38.179
70,70,22.871,20.507,27.098,34.187,48.591,48.634,43.686,47.341,43.757,70,70,26.855,24.225,31.888,35.985,43.103,50.125,45.585,47.341,41.349,70,70,7.24,21.472,30.308,33.96,43.797,51.384,58.467,48.766,39.949
71,71,26.522,28.493,34.261,41.406,49.391,48.278,44.488,47.637,41.732,71,71,29.732,22.126,30.178,35.617,46.288,47.894,46.246,47.653,42.297,71,71,11.096,33.676,34.903,40,48.894,50.577,58.03,48.54,40.766
72,72,23.805,24.664,28.039,40.952,48.349,48.161,43.408,45.843,42.704,72,72,28.003,27.132,28.717,36.076,45.382,50.778,45.724,46.896,39.315,72,72,3.4144,20.036,30.857,35.767,47.716,49.458,56.938,47.361,38.884
